timestamp_utc,open,high,low,close,volume
1773013800,24112.294,24121.033,24076.283,24079.686,0.0
1773014100,24079.533,24093.899,24065.97,24091.779,0.0
1773014400,24091.794,24111.149,24072.719,24078.029,0.0
1773014700,24077.599,24093.881,24063.981,24067.261,0.0
1773015000,24067.392,24069.779,24037.055,24059.642,0.0
1773015300,24059.5,24075.881,24054.664,24054.664,0.0
1773015600,24054.0,24067.805,24040.142,24063.892,0.0
1773015900,24063.653,24072.599,24043.055,24045.149,0.0
1773016200,24044.566,24080.761,24031.899,24073.925,0.0
1773016500,24074.279,24089.827,24041.425,24042.279,0.0
1773016800,24042.686,24050.029,24025.925,24034.544,0.0
1773017100,24034.327,24040.87,24005.772,24006.294,0.0
1773017400,24005.219,24016.425,23980.349,23999.686,0.0
1773017700,23999.208,24024.283,23978.805,23981.522,0.0
1773018000,23981.838,24019.055,23979.25,23988.5,0.0
1773018300,23987.794,24016.511,23979.099,24003.588,0.0
1773018600,24004.392,24029.816,23991.958,24000.381,0.0
1773018900,24000.175,24001.011,23973.761,23987.87,0.0
1773019200,23987.533,24025.577,23980.827,24018.849,0.0
1773019500,24019.149,24039.458,24007.936,24021.599,0.0
1773019800,24020.522,24024.805,24001.664,24021.403,0.0
1773020100,24021.5,24048.511,24014.392,24042.87,0.0
1773020400,24043.055,24059.37,24043.055,24056.011,0.0
1773020700,24055.588,24061.088,24039.544,24055.686,0.0
1773021000,24056.022,24063.294,24045.381,24060.719,0.0
1773021300,24060.779,24076.099,24055.458,24057.969,0.0
1773021600,24058.055,24083.577,24054.5,24062.969,0.0
1773021900,24062.653,24073.664,24059.0,24064.783,0.0
1773022200,24064.631,24080.779,24057.555,24080.458,0.0
1773022500,24079.958,24097.925,24073.544,24085.294,0.0
1773022800,24085.055,24103.029,24075.425,24080.436,0.0
1773023100,24080.529,24082.511,24065.761,24073.37,0.0
1773023400,24072.294,24100.279,24063.197,24099.5,0.0
1773023700,24099.197,24105.305,24073.816,24074.458,0.0
1773024000,24074.066,24076.87,24051.62,24057.947,0.0
1773024300,24058.37,24071.5,24054.153,24060.37,0.0
1773024600,24059.131,24087.414,24054.25,24058.12,0.0
1773024900,24058.066,24078.588,24051.088,24066.697,0.0
1773025200,24067.403,24101.338,24065.469,24083.958,0.0
1773025500,24083.529,24107.529,24083.399,24097.011,0.0
1773025800,24097.399,24106.219,24082.197,24084.022,0.0
1773026100,24084.149,24084.149,24072.653,24083.044,0.0
1773026400,24082.892,24095.75,24081.219,24092.642,0.0
1773026700,24092.914,24106.197,24092.5,24103.783,0.0
1773027000,24102.414,24105.599,24095.425,24102.62,0.0
1773027300,24102.305,24107.381,24088.805,24091.208,0.0
1773027600,24090.892,24094.055,24082.849,24087.403,0.0
1773027900,24087.631,24089.283,24075.283,24081.197,0.0
1773028200,24081.279,24087.164,24073.153,24083.697,0.0
1773028500,24083.772,24093.447,24073.903,24074.544,0.0
